experimento,identificador,politica,versaoPolitica,score,rendaMensal,compromissosMensais,valorSolicitado,prazoMeses,decisao,taxaMensal,parcelaSimulada,limiteMensalComprometimento,totalComprometido,motivo
EXP-20260906T144149Z-2cc97ad2,EXP-20260906T144149Z-2cc97ad2-P001,CONSERVADORA,1.0,850,5000.0,1000.0,5000.0,24,APROVADA,0.02,264.36,1500.0,1264.36,Score e capacidade de pagamento atendem aos criterios da politica simulada.
EXP-20260906T144149Z-2cc97ad2,EXP-20260906T144149Z-2cc97ad2-P001,FLEXIVEL,1.0,850,5000.0,1000.0,5000.0,24,APROVADA,0.02,264.36,1750.0,1264.36,Score e capacidade de pagamento atendem aos criterios da politica simulada.
EXP-20260906T144149Z-2cc97ad2,EXP-20260906T144149Z-2cc97ad2-P002,CONSERVADORA,1.0,680,5000.0,1000.0,5000.0,24,ANALISE_MANUAL,0.04,327.93,1500.0,1327.93,"Capacidade de pagamento suficiente, mas o score exige analise manual pela politica."
EXP-20260906T144149Z-2cc97ad2,EXP-20260906T144149Z-2cc97ad2-P002,FLEXIVEL,1.0,680,5000.0,1000.0,5000.0,24,APROVADA,0.04,327.93,1750.0,1327.93,Score e capacidade de pagamento atendem aos criterios da politica simulada.
EXP-20260906T144149Z-2cc97ad2,EXP-20260906T144149Z-2cc97ad2-P003,CONSERVADORA,1.0,580,5000.0,1000.0,5000.0,24,RECUSADA,,,,,Score abaixo da faixa minima de analise da politica.
EXP-20260906T144149Z-2cc97ad2,EXP-20260906T144149Z-2cc97ad2-P003,FLEXIVEL,1.0,580,5000.0,1000.0,5000.0,24,ANALISE_MANUAL,0.04,327.93,1750.0,1327.93,"Capacidade de pagamento suficiente, mas o score exige analise manual pela politica."
EXP-20260906T144149Z-2cc97ad2,EXP-20260906T144149Z-2cc97ad2-P004,CONSERVADORA,1.0,750,5000.0,1300.0,5000.0,24,RECUSADA,0.03,295.24,1500.0,1595.24,Compromissos existentes mais a nova parcela ultrapassam o limite mensal da politica.
EXP-20260906T144149Z-2cc97ad2,EXP-20260906T144149Z-2cc97ad2-P004,FLEXIVEL,1.0,750,5000.0,1300.0,5000.0,24,APROVADA,0.03,295.24,1750.0,1595.24,Score e capacidade de pagamento atendem aos criterios da politica simulada.
EXP-20260906T144149Z-2cc97ad2,EXP-20260906T144149Z-2cc97ad2-P005,CONSERVADORA,1.0,500,5000.0,500.0,5000.0,24,RECUSADA,,,,,Score abaixo da faixa minima de analise da politica.
EXP-20260906T144149Z-2cc97ad2,EXP-20260906T144149Z-2cc97ad2-P005,FLEXIVEL,1.0,500,5000.0,500.0,5000.0,24,RECUSADA,,,,,Score abaixo da faixa minima de analise da politica.
EXP-20260906T144149Z-2cc97ad2,EXP-20260906T144149Z-2cc97ad2-P006,CONSERVADORA,1.0,850,5000.0,1600.0,5000.0,24,RECUSADA,0.02,264.36,1500.0,1864.36,Compromissos existentes mais a nova parcela ultrapassam o limite mensal da politica.
EXP-20260906T144149Z-2cc97ad2,EXP-20260906T144149Z-2cc97ad2-P006,FLEXIVEL,1.0,850,5000.0,1600.0,5000.0,24,RECUSADA,0.02,264.36,1750.0,1864.36,Compromissos existentes mais a nova parcela ultrapassam o limite mensal da politica.
EXP-20260906T144149Z-2cc97ad2,EXP-20260906T144149Z-2cc97ad2-P007,CONSERVADORA,1.0,700,5000.0,1000.0,5000.0,24,APROVADA,0.03,295.24,1500.0,1295.24,Score e capacidade de pagamento atendem aos criterios da politica simulada.
EXP-20260906T144149Z-2cc97ad2,EXP-20260906T144149Z-2cc97ad2-P007,FLEXIVEL,1.0,700,5000.0,1000.0,5000.0,24,APROVADA,0.03,295.24,1750.0,1295.24,Score e capacidade de pagamento atendem aos criterios da politica simulada.
EXP-20260906T144149Z-2cc97ad2,EXP-20260906T144149Z-2cc97ad2-P008,CONSERVADORA,1.0,650,5000.0,1000.0,5000.0,24,ANALISE_MANUAL,0.04,327.93,1500.0,1327.93,"Capacidade de pagamento suficiente, mas o score exige analise manual pela politica."
EXP-20260906T144149Z-2cc97ad2,EXP-20260906T144149Z-2cc97ad2-P008,FLEXIVEL,1.0,650,5000.0,1000.0,5000.0,24,APROVADA,0.04,327.93,1750.0,1327.93,Score e capacidade de pagamento atendem aos criterios da politica simulada.
